407906,46-0177-009155-П,Площадка № 1 и № 2,"Московская обл, г Шатура, г Рошаль, ул 2-й Пятилетки, зд 78, 219, 220",46786000,Federal,1.0,26.0,{20.59.5},,1.0,1.0,Federal,46,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОЛИРЕН""",2002-12-03 21:00:00,5055002045,505501001,t,"Московская обл, г Шатура, г Рошаль, ул Косякова, д 18",140730,46786000,55.681008600757316,39.893278042369914,f
538382,45-0177-011350-Т,"Пруд-отстойник ""Жулебино""","109507, город Москва, Жулебино, МКАД, 9 км., ЮВАО",45387000,Federal,1.0,24.0,{37.00},,1.0,1.0,Federal,45,"Государственное унитарное предприятие города Москвы по эксплуатации московских водоотводящих систем ""Мосводосток""",2002-07-24 20:00:00,7705013033,770501001,t,"г. Москва, ул. Новокузнецкая, д.26/8, стр.1",119017,45376000,55.701161864784616,37.83404918455001,f
429058,46-0177-009661-П,"производственная площадка ООО ""Уника""","Московская область, г. Рошаль, ул. Косякова 18",46765000,Federal,1.0,26.0,{20.41.3},,1.0,1.0,Federal,46,"ООО ""Уника""",,5038053106,503801001,t,"Московская область, г. Рошаль, ул. Косякова 18",140730,46765000,55.66821826828984,39.88844769023951,f
534911,45-0177-011281-Т,Водовыпуск Лихоборской набережной,"125438, город Москва, САО, Лихоборская набережная, д.5, стр.3, X: 20781.73, Y: 1620.12",45338000,Federal,1.0,24.0,{37.00},,1.0,1.0,Federal,45,"Государственное унитарное предприятие города Москвы по эксплуатации московских водоотводящих систем ""Мосводосток""",2002-07-24 20:00:00,7705013033,775050001,t,"г. Москва, ул. Новокузнецкая, д.26/8, стр.1",119017,45376000,55.853657,37.524083,f
429722,46-0177-009656-П,Производственная площадка ООО «БИОФОРМЭЛЬ»,"143432, Московская область, городской округ Красногорск, рабочий поселок Нахабино, ул. Парковая, д.11А",46623154,Federal,1.0,26.0,"{20.41.3,20.59.5}",,1.0,1.0,Federal,46,Общество с ограниченной ответственностью «БИОФОРМЭЛЬ»,2016-02-16 21:00:00,7709485171,770901001,t,"г. Москва, ул. Николоямская, д.44/18, комната 17",109004,45381000,55.84061813255087,37.15777475189181,f
420814,46-0177-009652-П,Площадка,"Московская область, Раменский р-он, сп. Чулковское",46648491,Federal,1.0,26.0,"{02.10,02.20,02.40,37.00,38.11,38.12,38.21,38.22,38.31,38.32.1,38.32.2,38.32.3,38.32.4,38.32.5,41.20,42.11,42.12,42.13,43.11,43.12.3,43.21,43.22,43.29,43.31,43.32,43.33,43.34,43.99,43.99.1,45.1,45.20,45.3,45.40,47.3,49.4,52.10,52.21,52.22,52.24,71.12.6,77.11,77.34,77.35,77.39.11}",,1.0,1.0,Federal,46,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭКОСИСТЕМА""",2014-12-25 21:00:00,5040039772,504001001,t,"МО, Раменский район, д. Юрово, Московская обл, г Раменское, ул Чугунова, д 15а, помещ 22/1",140105,46768000,55.569219654559696,38.04103491089165,f
534725,45-0177-011242-Т,"Пруд-отстойник (включая снегосплавной пункт) ""Хапиловка""","107061, город Москва, Преображенский Вал, вл. 31а, ВАО",45316000,Federal,1.0,24.0,{37.00},,1.0,1.0,Federal,45,"Государственное унитарное предприятие города Москвы по эксплуатации московских водоотводящих систем ""Мосводосток""",2002-07-24 20:00:00,7705013033,775050001,t,"г. Москва, ул. Новокузнецкая, д.26/8, стр.1",119017,45376000,55.788088743512624,37.72351401447363,f
408929,46-0177-009065-П,объект по обезвреживанию отходов,"142403, ОБЛАСТЬ МОСКОВСКАЯ, РАЙОН НОГИНСКИЙ, ГОРОД НОГИНСК, УЛИЦА ИНДУСТРИАЛЬНАЯ, ДОМ 41, ЗДАНИЕ ОЧ.СООР., ОФИС 1",46639101,Federal,1.0,26.0,{38.2},2022-04-29,1.0,1.0,Federal,46,"Общество с ограниченной ответственностью ""ЭКОРЕЦИКЛ""",1998-05-21 20:00:00,5031008506,503101001,t," ОБЛАСТЬ МОСКОВСКАЯ, РАЙОН НОГИНСКИЙ, ГОРОД НОГИНСК, УЛИЦА ИНДУСТРИАЛЬНАЯ, ДОМ 41, ЗДАНИЕ ОЧ.СООР., ОФИС 1",142403,46639101,55.874119333333326,38.44651033333333,t
533359,45-0177-011200-Т,"Щитовое заграждение ""Таракановка""","г. Москва, СЗАО, улица Шеногина, д.2 с37",45371000,Federal,1.0,24.0,{37.00},,1.0,1.0,Federal,45,"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ГОРОДА МОСКВЫ ПО ЭКСПЛУАТАЦИИ МОСКОВСКИХ ВОДООТВОДЯЩИХ СИСТЕМ ""МОСВОДОСТОК""",2002-07-24 20:00:00,7705013033,770501001,t,"г Москва, ул Новокузнецкая, д 26/8 стр 1",119017,45376000,55.76575332800692,37.49928830323673,f
532664,46-0167-001877-П,Завод по производству колесных транспортных средств,"141595, Московская область, г. Солнечногорск, территория ""Индустриальный парк ""Есипово""",46652000,Federal,1.0,26.0,{29.10.2},,1.0,1.0,Federal,46,"Общество с ограниченной ответственностью ""МБ РУС Мануфэкчуринг""",2016-07-25 21:00:00,5029213040,504401001,t,"Московская область, г. Солнечногорск, территория ""Индустриальный парк ""Есипово"", строение 1, помещение 158",141595,46771000,56.08320642365013,37.08085872855533,f
