,index,date,pm25_min,pm10_min,o3_min,no2_min,co_min,aqi_min,pm25_max,pm10_max,o3_max,no2_max,co_max,aqi_max,pm25_mean,pm10_mean,o3_mean,no2_mean,co_mean,aqi_mean,temp_min,dwpt_min,rhum_min,prcp_min,snow_min,wdir_min,wspd_min,pres_min,coco_min,temp_max,dwpt_max,rhum_max,prcp_max,snow_max,wdir_max,wspd_max,pres_max,coco_max,temp_mean,dwpt_mean,rhum_mean,prcp_mean,snow_mean,wdir_mean,wspd_mean,pres_mean,coco_mean,pm25,pm10,o3,no2,co,station_name,aqi,latitude,longitude,distance_to_center,cluster,enterprise_distance,enterprise_name
20,2,2024-06-11,34.0,19.0,0.0111538461538461,0.011,1.0,97.06,49.0,24.0,0.0173673469387755,0.02,3.0,134.24,37.6,20.4,0.0141524537823558,0.0162,2.0,106.022,17.4,16.3,61.0,0.0,0.0,0.0,0.0,1004.6,4.0,25.7,18.7,98.0,0.0,0.0,200.0,7.0,1008.5,7.0,20.708333333333332,17.754166666666666,83.91666666666667,0.0,0.0,154.54166666666666,3.2375000000000003,1006.1541666666668,6.5,49.0,24.0,0.0132666666666666,0.02,2.0,"Novokosino, Moscow, Moscow, Russia",134.24,55.734445,37.857779,0.2599340000000012,9,3.9944731590251847,"Пруд-отстойник ""Жулебино"""
21,2,2024-06-11,34.0,19.0,0.0111538461538461,0.011,1.0,97.06,49.0,24.0,0.0173673469387755,0.02,3.0,134.24,37.6,20.4,0.0141524537823558,0.0162,2.0,106.022,17.4,16.3,61.0,0.0,0.0,0.0,0.0,1004.6,4.0,25.7,18.7,98.0,0.0,0.0,200.0,7.0,1008.5,7.0,20.708333333333332,17.754166666666666,83.91666666666667,0.0,0.0,154.54166666666666,3.2375000000000003,1006.1541666666668,6.5,34.0,19.0,0.0111538461538461,0.011,2.0,zhulebino,97.06,55.688043,37.863004,0.3115609999999975,6,2.334234103887257,"Пруд-отстойник ""Жулебино"""
22,3,2024-06-12,40.0,8.0,0.0111538461538461,0.008,1.0,112.08,64.0,22.0,0.0181367521367521,0.02,3.0,155.39,49.0,14.6,0.013974466690083,0.0147999999999999,1.8,131.084,18.3,17.0,54.0,0.0,0.0,0.0,0.0,1008.6,3.0,27.1,20.2,98.0,0.0,0.0,180.0,4.0,1010.2,7.0,21.34166666666667,18.304166666666667,83.79166666666667,0.0,0.0,108.20833333333331,2.1041666666666665,1009.4625,5.958333333333333,40.0,16.0,0.0143150684931506,0.02,1.0,"Veshnyaki, Moscow, Moscow, Russia",112.08,55.719959,37.795549,0.2121899999999996,1,3.199454902130729,"Пруд-отстойник ""Жулебино"""
23,3,2024-06-12,40.0,8.0,0.0111538461538461,0.008,1.0,112.08,64.0,22.0,0.0181367521367521,0.02,3.0,155.39,49.0,14.6,0.013974466690083,0.0147999999999999,1.8,131.084,18.3,17.0,54.0,0.0,0.0,0.0,0.0,1008.6,3.0,27.1,20.2,98.0,0.0,0.0,180.0,4.0,1010.2,7.0,21.34166666666667,18.304166666666667,83.79166666666667,0.0,0.0,108.20833333333331,2.1041666666666665,1009.4625,5.958333333333333,47.0,16.0,0.013,0.011,2.0,"Spirid, Moscow, Moscow, Russia",129.32,55.759354,37.595584,0.0271699999999981,5,3.53746362648017,"ТЭЦ-12 - филиал ПАО ""Мосэнерго"""
24,3,2024-06-12,40.0,8.0,0.0111538461538461,0.008,1.0,112.08,64.0,22.0,0.0181367521367521,0.02,3.0,155.39,49.0,14.6,0.013974466690083,0.0147999999999999,1.8,131.084,18.3,17.0,54.0,0.0,0.0,0.0,0.0,1008.6,3.0,27.1,20.2,98.0,0.0,0.0,180.0,4.0,1010.2,7.0,21.34166666666667,18.304166666666667,83.79166666666667,0.0,0.0,108.20833333333331,2.1041666666666665,1009.4625,5.958333333333333,44.0,8.0,0.0111538461538461,0.008,3.0,zhulebino,121.93,55.688043,37.863004,0.3115609999999975,6,2.334234103887257,"Пруд-отстойник ""Жулебино"""
25,3,2024-06-12,40.0,8.0,0.0111538461538461,0.008,1.0,112.08,64.0,22.0,0.0181367521367521,0.02,3.0,155.39,49.0,14.6,0.013974466690083,0.0147999999999999,1.8,131.084,18.3,17.0,54.0,0.0,0.0,0.0,0.0,1008.6,3.0,27.1,20.2,98.0,0.0,0.0,180.0,4.0,1010.2,7.0,21.34166666666667,18.304166666666667,83.79166666666667,0.0,0.0,108.20833333333331,2.1041666666666665,1009.4625,5.958333333333333,64.0,11.0,0.0132666666666666,0.017,2.0,"Novokosino, Moscow, Moscow, Russia",155.39,55.734445,37.857779,0.2599340000000012,9,3.9944731590251847,"Пруд-отстойник ""Жулебино"""
26,3,2024-06-12,40.0,8.0,0.0111538461538461,0.008,1.0,112.08,64.0,22.0,0.0181367521367521,0.02,3.0,155.39,49.0,14.6,0.013974466690083,0.0147999999999999,1.8,131.084,18.3,17.0,54.0,0.0,0.0,0.0,0.0,1008.6,3.0,27.1,20.2,98.0,0.0,0.0,180.0,4.0,1010.2,7.0,21.34166666666667,18.304166666666667,83.79166666666667,0.0,0.0,108.20833333333331,2.1041666666666665,1009.4625,5.958333333333333,50.0,22.0,0.0181367521367521,0.018,1.0,"bazovskaya, Moscow, Moscow, Russia",136.7,55.877509,37.5085479,0.2323610999999985,4,1.7084998561593,ТЭЦ-21
27,4,2024-06-13,21.0,8.0,0.0111538461538461,0.005,1.0,69.72,56.0,21.0,0.038,0.024,3.0,151.26,33.36363636363637,13.090909090909092,0.018495824419112,0.0115454545454545,1.7272727272727273,97.32454545454544,16.2,14.8,75.0,0.0,0.0,0.0,0.0,1008.0,7.0,23.1,18.5,97.0,0.0,0.0,357.0,7.300000000000001,1009.0,7.0,18.870833333333337,17.333333333333332,90.95833333333331,0.0,0.0,220.04166666666663,4.675,1008.4291666666668,7.0,26.0,14.0,0.023,0.024,2.0,"Ochakovskaya, Moscow, Moscow, Russia",80.23,55.693546,37.455579,0.2186750000000046,0,0.7294662889235759,"Теплоэлектроцентраль №25 - филиал публичного акционерного общества энергетики и электрификации ""Мосэнерго"""
28,4,2024-06-13,21.0,8.0,0.0111538461538461,0.005,1.0,69.72,56.0,21.0,0.038,0.024,3.0,151.26,33.36363636363637,13.090909090909092,0.018495824419112,0.0115454545454545,1.7272727272727273,97.32454545454544,16.2,14.8,75.0,0.0,0.0,0.0,0.0,1008.0,7.0,23.1,18.5,97.0,0.0,0.0,357.0,7.300000000000001,1009.0,7.0,18.870833333333337,17.333333333333332,90.95833333333331,0.0,0.0,220.04166666666663,4.675,1008.4291666666668,7.0,24.0,8.0,0.0111538461538461,0.005,1.0,zhulebino,76.03,55.688043,37.863004,0.3115609999999975,6,2.334234103887257,"Пруд-отстойник ""Жулебино"""
29,4,2024-06-13,21.0,8.0,0.0111538461538461,0.005,1.0,69.72,56.0,21.0,0.038,0.024,3.0,151.26,33.36363636363637,13.090909090909092,0.018495824419112,0.0115454545454545,1.7272727272727273,97.32454545454544,16.2,14.8,75.0,0.0,0.0,0.0,0.0,1008.0,7.0,23.1,18.5,97.0,0.0,0.0,357.0,7.300000000000001,1009.0,7.0,18.870833333333337,17.333333333333332,90.95833333333331,0.0,0.0,220.04166666666663,4.675,1008.4291666666668,7.0,47.0,21.0,0.0181367521367521,0.013,1.0,"bazovskaya, Moscow, Moscow, Russia",129.32,55.877509,37.5085479,0.2323610999999985,4,1.7084998561593,ТЭЦ-21
